newIndex,A_adcl,B_adcl,C_adcl,D_adcl,E_adcl
CC11CM25SCR13cf325091ed448984626c0745042fd5,7.000000000000002e-06,6e-06,0.240063,0.304686,0.278679
CC11CM83SCRccd3fc085db84e72a0f67ce84e7b18c0,8e-06,7.000000000000002e-06,0.128631,0.27867,0.230364
CC11CM87SCR0b2b2f0f8be6446bac107cee65045e81,0.043142,0.091679,0.150573,0.10228,0.266838
CC11CM88SCR2f13cdc399694b4ca89dbf2a088bd732,0.141714,0.150463,0.097512,0.157631,0.26361100000000004
CC11CM36SCR46c06611d099473a9d2ca5d3b9907834,6e-06,1e-05,0.249521,0.277821,0.21667600000000006
CC11CM44SCR3d9cbb56f540472281659bbe47fcc853,9e-06,7.000000000000002e-06,0.306925,0.245826,0.218715
CC11CM37SCR48d2ed65afbc4ee5b74f43a7167842c0,0.046558,0.205307,0.264883,0.27018400000000004,0.17666600000000002
CC11CM97SCRb5ef2f6fe4be4d2394430671067e7c01,0.11444,0.154961,0.133695,0.246127,0.27878600000000003
CC11CM82SCR28599208c5064ccc91ce7ee5f2b8de40,0.019636,0.018297,0.017015,0.248036,0.109848
CC11CM63SCR24183db46ade4182bc4017198cd55d96,0.058741,0.071314,0.142438,0.223335,0.150418
CC11CM39SCR25286dc554284bc1a23a7b90cb909df5,9e-06,6e-06,0.02095,0.149008,0.028882
CC11CM13SCRaa743efb370e410ca9512f99a406f668,0.06385,0.085333,0.128234,0.155559,0.248669
CC11CM47SCR3469bad7c189488a84b949f831cbc5d5,0.05276,0.06556100000000001,0.234287,0.24100000000000002,0.07721900000000001
CC11CM78SCRa3480b94ae494d8ab9df620f153b492b,0.298494,0.307736,0.294117,0.19778,0.132351
CC11CM70SCRbe96c4020dce4f8c92103351319fa19c,7.000000000000002e-06,0.137668,0.021522,0.155496,0.204297
CC11CM9SCRe5a554ab275c466ba37ad130e8ad8a38,1e-05,0.12158499999999997,0.361349,0.13855499999999998,0.105004
CC11CM3SCR6168d5abdf144e5dae96d6d11eb2362b,6e-06,6e-06,6e-06,8e-06,0.2597
CC11CM10SCRf4f58e78192743dfa3ae47990e1f2b3c,0.033444,6e-06,8e-06,8e-06,0.105417
