,reference,adcl_1,adcl_2,prichness,edpl_1,edpl_2,bcd,sensitivity,community
4,E,1.5384615384615385,0.1619785,50.76923076923077,0.101917,0.0488624,0.02745983571746719,0.237034,CC11CM11
0,A,71.875,0.0957395,74.21875,0.13559125000000002,0.05612545000000001,0.007804392046162148,3.5725300000000004,CC11CM12
1,B,40.625,0.110448,68.75,0.2237065,0.058491524999999996,0.007804392046162148,3.02328,CC11CM12
2,C,20.3125,0.111029,64.0625,0.145788,0.0627813,0.007804392046162148,2.22683,CC11CM12
3,D,4.6875,0.138466,60.9375,0.159536,0.051630350000000005,0.010016121483176451,0.908349,CC11CM12
4,E,1.5625,0.152062,53.125,0.12144500000000001,0.0562798,0.008369504267824136,0.248668,CC11CM12
0,A,58.73015873015873,0.06252650000000001,76.19047619047619,0.268681,0.056009400000000015,0.0,3.5772,CC11CM13
1,B,44.44444444444444,0.097577,63.492063492063494,0.2132755,0.05478490000000001,0.0,3.07019,CC11CM13
2,C,20.634920634920636,0.133281,61.111111111111114,0.33681000000000005,0.080352575,0.0,2.17757,CC11CM13
3,D,4.761904761904762,0.130847,59.523809523809526,0.14632299999999998,0.0687481,0.0,0.862057,CC11CM13
4,E,0.0,0.154305,52.38095238095238,0.103832,0.04648965,0.0029318757722351365,0.228992,CC11CM13
0,A,73.77049180327869,0.08455599999999999,72.95081967213115,0.3058385,0.05265945000000001,0.0,3.42242,CC11CM14
1,B,36.0655737704918,0.097577,66.39344262295081,0.163099,0.06265175,0.0,2.9208,CC11CM14
2,C,19.672131147540984,0.127861,62.295081967213115,0.29773550000000004,0.08920415,0.0,2.1570400000000003,CC11CM14
3,D,3.278688524590164,0.140681,54.09836065573771,0.27850775,0.0523139,0.0,0.836132,CC11CM14
4,E,1.639344262295082,0.188609,57.377049180327866,0.11173499999999999,0.06364905,0.0,0.229922,CC11CM14
0,A,70.76923076923077,0.070518,69.23076923076923,0.19017050000000002,0.057930899999999994,0.00014311123832110072,3.4279300000000004,CC11CM15
1,B,44.61538461538461,0.0992365,66.92307692307692,0.16300699999999999,0.08173027499999999,0.00014311123832110072,2.96055,CC11CM15
2,C,16.923076923076923,0.1237595,60.76923076923077,0.147971,0.08768989999999999,0.00014311123832110072,2.08905,CC11CM15
3,D,3.076923076923077,0.141594,63.84615384615385,0.343105,0.053879474999999996,0.05263157894736842,0.8679879999999999,CC11CM15
4,E,0.0,0.21051399999999998,46.15384615384615,0.101917,0.06698535,0.00014311123832110072,0.205228,CC11CM15
0,A,70.76923076923077,0.054387,71.53846153846153,0.12948150000000003,0.047114100000000006,0.0,3.30298,CC11CM16
1,B,40.0,0.085333,64.61538461538461,0.1599445,0.07929425,0.0,2.79358,CC11CM16
2,C,20.0,0.1237595,64.61538461538461,0.170178,0.0878357,0.0,2.04162,CC11CM16
3,D,7.6923076923076925,0.148559,65.38461538461539,0.14821199999999998,0.0479381,0.005681818181818182,0.830277,CC11CM16
4,E,0.0,0.203182,46.15384615384615,0.101917,0.0585473,0.0383860552472197,0.213024,CC11CM16
0,A,85.71428571428571,0.093214,80.95238095238095,0.361655,0.0440691,0.010543088017713215,3.52966,CC11CM17
1,B,46.03174603174603,0.07460349999999999,65.07936507936508,0.1266685,0.05999285,0.010543088017713215,3.00335,CC11CM17
2,C,26.984126984126984,0.11311500000000001,63.492063492063494,0.347279,0.08109119999999999,0.010543088017713215,2.22939,CC11CM17
3,D,3.1746031746031744,0.125399,65.07936507936508,0.14821199999999998,0.047775099999999994,0.010543088017713215,0.845216,CC11CM17
4,E,1.5873015873015872,0.180722,46.82539682539682,0.101917,0.0595886,0.010543088017713215,0.226941,CC11CM17
0,A,68.42105263157895,0.0660625,65.78947368421052,0.13004725,0.0591619,0.0,3.45961,CC11CM18
1,B,42.10526315789474,0.085333,64.03508771929825,0.10437,0.05640455,0.0,3.01051,CC11CM18
2,C,19.29824561403509,0.114246,57.89473684210526,0.1448315,0.055579550000000005,0.0,2.10699,CC11CM18
3,D,1.7543859649122806,0.14003,61.40350877192982,0.32815575,0.0661154,0.0,0.8575799999999999,CC11CM18
4,E,0.0,0.204038,43.85964912280702,0.101917,0.06629145,0.008099323837093858,0.210521,CC11CM18
0,A,69.6969696969697,0.058437499999999996,65.15151515151516,0.162738,0.051448900000000006,0.0012193634922570418,3.5145,CC11CM19
1,B,37.878787878787875,0.095206,62.878787878787875,0.1599445,0.0682082,0.0012193634922570418,3.03939,CC11CM19
