ncbi_tax_id,CC11CM0,CC11CM1,CC11CM10,CC11CM11,CC11CM12,CC11CM13,CC11CM14,CC11CM15,CC11CM16,CC11CM17,CC11CM18,CC11CM19,CC11CM2,CC11CM20,CC11CM21,CC11CM22,CC11CM23,CC11CM24,CC11CM25,CC11CM26,CC11CM27,CC11CM28,CC11CM29,CC11CM3,CC11CM30,CC11CM31,CC11CM32,CC11CM33,CC11CM34,CC11CM35,CC11CM36,CC11CM37,CC11CM38,CC11CM39,CC11CM4,CC11CM40,CC11CM41,CC11CM42,CC11CM43,CC11CM44,CC11CM45,CC11CM46,CC11CM47,CC11CM48,CC11CM49,CC11CM5,CC11CM50,CC11CM51,CC11CM52,CC11CM53,CC11CM54,CC11CM55,CC11CM56,CC11CM57,CC11CM58,CC11CM59,CC11CM6,CC11CM60,CC11CM61,CC11CM62,CC11CM63,CC11CM64,CC11CM65,CC11CM66,CC11CM67,CC11CM68,CC11CM69,CC11CM7,CC11CM70,CC11CM71,CC11CM72,CC11CM73,CC11CM74,CC11CM75,CC11CM76,CC11CM77,CC11CM78,CC11CM79,CC11CM8,CC11CM80,CC11CM81,CC11CM82,CC11CM83,CC11CM84,CC11CM85,CC11CM86,CC11CM87,CC11CM88,CC11CM89,CC11CM9,CC11CM90,CC11CM91,CC11CM92,CC11CM93,CC11CM94,CC11CM95,CC11CM96,CC11CM97,CC11CM98,CC11CM99
328813,623.0,548.0,,,,,,1703.0,,,2362.0,,,,907.0,,,,,1500.0,,,,,,,,,,,,,585.0,,,,,1714.0,,,,,,,,,,5689.0,,1243.0,,,,1658.0,,,,,,,1178.0,1282.0,,,,,,,,717.0,,2557.0,,,,,,,,,,,,,4415.0,,,,,,,,,,,1.0,,,,
33029,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,,,,,,,
35623,3.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,19.0,,,,15.0,,,,,,,,,
375175,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376804,4656.0,,598.0,,840.0,513.0,2985.0,,1137.0,730.0,1243.0,,,965.0,,560.0,,,,,,,,,,2144.0,,1197.0,,,,4661.0,,2077.0,,,,,,4555.0,,,1210.0,,,,,,,,,,,,,,,,,,,,,,,1948.0,,,298.0,1785.0,,,,,,,,887.0,,,,,,,,,,,,,,,,,,,,,,
376805,1579.0,,,,,,,,,,773.0,,,,,,,,,,,,,,,,,,,,1137.0,,,4785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39495,3041.0,,,,,,,1013.0,,,,,,,,1112.0,,,,,,,,,352.0,,,,,,532.0,,,,,,,,,,,,,,,1339.0,,,,,,,,,,,,,,459.0,3114.0,,,1886.0,,,,,,,,,,,,,,,,,,,,,,1070.0,,131.0,,,,,,,,1559.0,,,,
445973,1.0,,,,4.0,3.0,1.0,,,1.0,,,,,,,,,1.0,,,,4.0,,,,,,2.0,1.0,3.0,2.0,,,1.0,,,,2.0,,1.0,,3.0,,,,,1.0,3.0,2.0,,,,3.0,,2.0,,,1.0,,1.0,4.0,,,4.0,,,,1.0,,,,1.0,1.0,,,2.0,1.0,,1.0,1.0,2.0,,,,8.0,,,,2.0,,,3.0,2.0,5.0,,,,,3.0
46506,684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515619,21.0,6.0,,31.0,34.0,,76.0,,58.0,,8.0,10.0,18.0,,13.0,,46.0,28.0,42.0,38.0,7.0,,16.0,,,63.0,43.0,26.0,,141.0,,60.0,19.0,13.0,21.0,,,63.0,,26.0,68.0,3.0,28.0,47.0,7.0,,,51.0,31.0,21.0,,,55.0,80.0,,7.0,23.0,36.0,73.0,54.0,42.0,,58.0,64.0,66.0,,32.0,38.0,52.0,,49.0,,11.0,,,,49.0,,,45.0,78.0,74.0,30.0,,22.0,50.0,39.0,,104.0,,,,,36.0,50.0,42.0,98.0,175.0,19.0,
525256,175.0,,,,,,,,,,,,,,,,,,,,63.0,,,,86.0,,,,,,,,,,,,,133.0,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539813,5.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55207,16.0,36.0,,9.0,,,7.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,36.0,,,45.0,39.0,
553175,391.0,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,4050.0,243.0,,791.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,,,,201.0,,,,,,,434.0,,,,619.0,,,,,,,,,,,,,,,,,,,,,4729.0,,,,6375.0,,,,,,,,7.0,35.0,,,,,,,,,,,,,,,,,,
570,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,213.0,,,,,,,,,,,,,,,,10.0,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,257.0,,,,,,,,,,,,,,,,65.0,,,,,34.0,,,,77.0,,
580596,97.0,7.0,23.0,51.0,70.0,71.0,87.0,107.0,5.0,,,,,,,80.0,,69.0,55.0,7.0,,,89.0,256.0,122.0,177.0,16.0,15.0,19.0,249.0,39.0,32.0,5.0,41.0,,138.0,,76.0,122.0,133.0,167.0,7.0,21.0,,,,161.0,76.0,121.0,25.0,22.0,,45.0,97.0,,144.0,,169.0,,95.0,194.0,,124.0,30.0,145.0,10.0,,58.0,144.0,,34.0,85.0,110.0,,49.0,139.0,45.0,,43.0,,175.0,128.0,,90.0,36.0,,,,,49.0,,,95.0,,,187.0,369.0,89.0,89.0,229.0
