community,A,A_adcl,B,B_adcl,C,C_adcl,D,D_adcl,E,E_adcl,A_edpl,B_edpl,C_edpl,D_edpl,E_edpl,A_prichness,B_prichness,C_prichness,D_prichness,E_prichness,A_mindistl,B_mindistl,C_mindistl,D_mindistl,E_mindistl
CC11CM26,0.04477611940298507,0.2537313432835821,0.05970149253731343,0.5074626865671642,0.3283582089552239,0.7611940298507462,0.6268656716417911,0.9850746268656716,0.19402985074626866,1.0,0.6119402985074627,0.5522388059701493,0.7313432835820896,0.7313432835820896,0.6417910447761194,0.13432835820895522,0.1044776119402985,0.13432835820895522,0.14925373134328357,0.3283582089552239,0.029850746268656716,0.07462686567164178,0.11940298507462686,0.208955223880597,0.29850746268656714
CC11CM27,0.015384615384615385,0.24615384615384617,0.09230769230769231,0.5230769230769231,0.2923076923076923,0.7692307692307693,0.6461538461538462,0.9538461538461539,0.26153846153846155,0.9846153846153847,0.49230769230769234,0.5846153846153846,0.7384615384615385,0.7384615384615385,0.6153846153846154,0.13846153846153847,0.12307692307692308,0.15384615384615385,0.2,0.26153846153846155,0.046153846153846156,0.15384615384615385,0.09230769230769231,0.18461538461538463,0.3230769230769231
CC11CM28,0.05,0.21666666666666667,0.1,0.45,0.2833333333333333,0.7833333333333333,0.5833333333333334,0.9166666666666666,0.2833333333333333,0.9833333333333333,0.6,0.5666666666666667,0.6666666666666666,0.7833333333333333,0.6833333333333333,0.11666666666666667,0.2,0.16666666666666666,0.15,0.35,0.0,0.08333333333333333,0.1,0.15,0.26666666666666666
CC11CM29,0.07017543859649122,0.2631578947368421,0.14035087719298245,0.5964912280701754,0.3157894736842105,0.7719298245614035,0.625,0.9824561403508771,0.21428571428571427,0.9824561403508771,0.5614035087719298,0.5789473684210527,0.7192982456140351,0.7368421052631579,0.6491228070175439,0.12280701754385964,0.14035087719298245,0.14035087719298245,0.17543859649122806,0.22807017543859648,0.03508771929824561,0.14035087719298245,0.10526315789473684,0.19298245614035087,0.3157894736842105
CC11CM30,0.046153846153846156,0.26153846153846155,0.07692307692307693,0.5230769230769231,0.24615384615384617,0.8307692307692308,0.676923076923077,0.9692307692307692,0.2,0.9846153846153847,0.49230769230769234,0.5076923076923077,0.7384615384615385,0.6923076923076923,0.6923076923076923,0.12307692307692308,0.09230769230769231,0.13846153846153847,0.15384615384615385,0.35384615384615387,0.03076923076923077,0.13846153846153847,0.13846153846153847,0.24615384615384617,0.24615384615384617
CC11CM31,0.034482758620689655,0.29310344827586204,0.08620689655172414,0.5,0.29310344827586204,0.8275862068965517,0.6551724137931034,0.9655172413793104,0.24561403508771928,0.9827586206896551,0.6206896551724138,0.5517241379310345,0.7068965517241379,0.7413793103448276,0.6551724137931034,0.1724137931034483,0.13793103448275862,0.15517241379310345,0.22413793103448276,0.27586206896551724,0.017241379310344827,0.08620689655172414,0.10344827586206896,0.1724137931034483,0.3103448275862069
CC11CM32,0.03225806451612903,0.2903225806451613,0.08064516129032258,0.5806451612903226,0.25806451612903225,0.8064516129032258,0.4918032786885246,0.967741935483871,0.1864406779661017,1.0,0.5645161290322581,0.6290322580645161,0.7096774193548387,0.6935483870967742,0.6451612903225806,0.12903225806451613,0.14516129032258066,0.16129032258064516,0.0967741935483871,0.3064516129032258,0.016129032258064516,0.12903225806451613,0.0967741935483871,0.20967741935483872,0.27419354838709675
CC11CM33,0.06779661016949153,0.2542372881355932,0.13559322033898305,0.5084745762711864,0.3050847457627119,0.7796610169491526,0.5789473684210527,0.9830508474576272,0.23728813559322035,1.0,0.6440677966101694,0.6101694915254238,0.7288135593220338,0.7288135593220338,0.711864406779661,0.22033898305084745,0.1864406779661017,0.11864406779661017,0.15254237288135594,0.3389830508474576,0.03389830508474576,0.1694915254237288,0.1016949152542373,0.22033898305084745,0.288135593220339
CC11CM34,0.05172413793103448,0.2413793103448276,0.1206896551724138,0.5344827586206896,0.29310344827586204,0.8103448275862069,0.6379310344827587,0.9655172413793104,0.2413793103448276,0.9827586206896551,0.603448275862069,0.603448275862069,0.7586206896551724,0.8103448275862069,0.6206896551724138,0.13793103448275862,0.1896551724137931,0.1206896551724138,0.13793103448275862,0.27586206896551724,0.017241379310344827,0.10344827586206896,0.10344827586206896,0.1724137931034483,0.3275862068965517
CC11CM35,0.1111111111111111,0.18518518518518517,0.14814814814814814,0.5,0.4074074074074074,0.7962962962962963,0.7407407407407407,0.9814814814814815,0.2962962962962963,0.9814814814814815,0.5555555555555556,0.6111111111111112,0.7222222222222222,0.7962962962962963,0.7222222222222222,0.16666666666666666,0.18518518518518517,0.16666666666666666,0.14814814814814814,0.25925925925925924,0.018518518518518517,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.2037037037037037
CC11CM36,0.05263157894736842,0.2807017543859649,0.10526315789473684,0.5263157894736842,0.2807017543859649,0.7894736842105263,0.5964912280701754,0.9649122807017544,0.26785714285714285,0.9824561403508771,0.5789473684210527,0.5964912280701754,0.7192982456140351,0.7543859649122807,0.6491228070175439,0.15789473684210525,0.14035087719298245,0.08771929824561403,0.12280701754385964,0.2807017543859649,0.03508771929824561,0.10526315789473684,0.08771929824561403,0.21052631578947367,0.3157894736842105
CC11CM37,0.07462686567164178,0.26865671641791045,0.16417910447761194,0.5970149253731343,0.31343283582089554,0.8059701492537313,0.6716417910447762,0.9402985074626866,0.25757575757575757,0.9850746268656716,0.44776119402985076,0.5522388059701493,0.746268656716418,0.7910447761194029,0.6119402985074627,0.11940298507462686,0.16417910447761194,0.14925373134328357,0.14925373134328357,0.2537313432835821,0.029850746268656716,0.11940298507462686,0.07462686567164178,0.14925373134328357,0.29850746268656714
CC11CM38,0.03333333333333333,0.4166666666666667,0.11666666666666667,0.6333333333333333,0.3333333333333333,0.8166666666666667,0.6166666666666667,0.95,0.18333333333333332,1.0,0.55,0.6333333333333333,0.7166666666666667,0.7166666666666667,0.6333333333333333,0.15,0.15,0.15,0.15,0.35,0.05,0.1,0.15,0.25,0.3333333333333333
CC11CM39,0.05555555555555555,0.2777777777777778,0.1111111111111111,0.5185185185185185,0.3333333333333333,0.8333333333333334,0.6481481481481481,0.9444444444444444,0.12962962962962962,0.9814814814814815,0.6111111111111112,0.5555555555555556,0.6851851851851852,0.7962962962962963,0.6481481481481481,0.12962962962962962,0.12962962962962962,0.1111111111111111,0.12962962962962962,0.2777777777777778,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.37037037037037035
CC11CM40,0.05970149253731343,0.2835820895522388,0.16417910447761194,0.582089552238806,0.34328358208955223,0.7910447761194029,0.696969696969697,0.9701492537313433,0.21212121212121213,0.9850746268656716,0.5522388059701493,0.5671641791044776,0.746268656716418,0.7014925373134329,0.6865671641791045,0.13432835820895522,0.1791044776119403,0.14925373134328357,0.19402985074626866,0.29850746268656714,0.029850746268656716,0.11940298507462686,0.08955223880597014,0.26865671641791045,0.26865671641791045
CC11CM41,0.06451612903225806,0.25806451612903225,0.0967741935483871,0.5,0.2903225806451613,0.8064516129032258,0.6833333333333333,0.9516129032258065,0.3064516129032258,1.0,0.532258064516129,0.5967741935483871,0.7419354838709677,0.7580645161290323,0.6774193548387096,0.1774193548387097,0.1935483870967742,0.14516129032258066,0.22580645161290322,0.3709677419354839,0.016129032258064516,0.0967741935483871,0.11290322580645161,0.20967741935483872,0.27419354838709675
CC11CM42,0.11290322580645161,0.3064516129032258,0.11290322580645161,0.6290322580645161,0.3709677419354839,0.8870967741935484,0.6065573770491803,0.9838709677419355,0.18032786885245902,1.0,0.532258064516129,0.6290322580645161,0.7580645161290323,0.7096774193548387,0.6129032258064516,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.08064516129032258,0.2903225806451613,0.0967741935483871,0.16129032258064516,0.14516129032258066,0.27419354838709675,0.3548387096774194
CC11CM43,0.06779661016949153,0.2542372881355932,0.1016949152542373,0.5932203389830508,0.3728813559322034,0.7796610169491526,0.5932203389830508,0.9661016949152542,0.27586206896551724,1.0,0.5932203389830508,0.576271186440678,0.6610169491525424,0.7627118644067796,0.6271186440677966,0.0847457627118644,0.2033898305084746,0.2033898305084746,0.1694915254237288,0.288135593220339,0.01694915254237288,0.15254237288135594,0.11864406779661017,0.1694915254237288,0.3389830508474576
CC11CM44,0.031746031746031744,0.20634920634920634,0.07936507936507936,0.5396825396825397,0.25396825396825395,0.746031746031746,0.6507936507936508,0.9523809523809523,0.27419354838709675,1.0,0.6349206349206349,0.5873015873015873,0.6507936507936508,0.6825396825396826,0.6190476190476191,0.14285714285714285,0.12698412698412698,0.07936507936507936,0.12698412698412698,0.30158730158730157,0.0,0.14285714285714285,0.09523809523809523,0.25396825396825395,0.2857142857142857
CC11CM45,0.047619047619047616,0.3968253968253968,0.1111111111111111,0.6825396825396826,0.30158730158730157,0.8888888888888888,0.6031746031746031,0.9682539682539683,0.1746031746031746,0.9841269841269841,0.7142857142857143,0.6825396825396826,0.7142857142857143,0.7619047619047619,0.6666666666666666,0.14285714285714285,0.1746031746031746,0.14285714285714285,0.19047619047619047,0.36507936507936506,0.047619047619047616,0.12698412698412698,0.09523809523809523,0.19047619047619047,0.2857142857142857
CC11CM46,0.07272727272727272,0.23636363636363636,0.12727272727272726,0.6,0.32727272727272727,0.8,0.6909090909090909,0.9454545454545454,0.18518518518518517,0.9818181818181818,0.6545454545454545,0.5818181818181818,0.7090909090909091,0.7636363636363637,0.6909090909090909,0.07272727272727272,0.12727272727272726,0.09090909090909091,0.21818181818181817,0.36363636363636365,0.01818181818181818,0.10909090909090909,0.12727272727272726,0.2,0.3090909090909091
CC11CM47,0.07272727272727272,0.23636363636363636,0.12727272727272726,0.6181818181818182,0.34545454545454546,0.8363636363636363,0.6545454545454545,0.9636363636363636,0.24074074074074073,1.0,0.4727272727272727,0.6363636363636364,0.7818181818181819,0.7272727272727273,0.6909090909090909,0.16363636363636364,0.14545454545454545,0.16363636363636364,0.10909090909090909,0.34545454545454546,0.01818181818181818,0.09090909090909091,0.09090909090909091,0.21818181818181817,0.2909090909090909
CC11CM48,0.016129032258064516,0.25806451612903225,0.12903225806451613,0.5806451612903226,0.27419354838709675,0.8225806451612904,0.6129032258064516,0.967741935483871,0.18032786885245902,1.0,0.5806451612903226,0.5645161290322581,0.7419354838709677,0.7419354838709677,0.6612903225806451,0.11290322580645161,0.14516129032258066,0.16129032258064516,0.22580645161290322,0.3387096774193548,0.03225806451612903,0.11290322580645161,0.0967741935483871,0.22580645161290322,0.3064516129032258
CC11CM49,0.034482758620689655,0.3275862068965517,0.10344827586206896,0.5689655172413793,0.2807017543859649,0.7068965517241379,0.6206896551724138,0.9827586206896551,0.3157894736842105,0.9827586206896551,0.6379310344827587,0.6379310344827587,0.6896551724137931,0.7413793103448276,0.6896551724137931,0.20689655172413793,0.15517241379310345,0.1206896551724138,0.20689655172413793,0.3103448275862069,0.034482758620689655,0.1724137931034483,0.1206896551724138,0.20689655172413793,0.27586206896551724
CC11CM50,0.06349206349206349,0.30158730158730157,0.14285714285714285,0.5873015873015873,0.3492063492063492,0.8095238095238095,0.6507936507936508,0.9682539682539683,0.19047619047619047,0.9841269841269841,0.5396825396825397,0.6349206349206349,0.6825396825396826,0.7142857142857143,0.6190476190476191,0.1111111111111111,0.09523809523809523,0.12698412698412698,0.1746031746031746,0.30158730158730157,0.06349206349206349,0.15873015873015872,0.12698412698412698,0.23809523809523808,0.3333333333333333
CC11CM51,0.06666666666666667,0.2833333333333333,0.18333333333333332,0.6,0.3333333333333333,0.8666666666666667,0.6833333333333333,0.9833333333333333,0.2542372881355932,0.9833333333333333,0.5666666666666667,0.65,0.7833333333333333,0.7166666666666667,0.6,0.16666666666666666,0.16666666666666666,0.2,0.1,0.26666666666666666,0.016666666666666666,0.11666666666666667,0.13333333333333333,0.16666666666666666,0.35
CC11CM52,0.04918032786885246,0.3442622950819672,0.06557377049180328,0.6065573770491803,0.26229508196721313,0.8360655737704918,0.65,0.9508196721311475,0.22950819672131148,0.9836065573770492,0.5409836065573771,0.5901639344262295,0.7540983606557377,0.7868852459016393,0.6229508196721312,0.11475409836065574,0.13114754098360656,0.13114754098360656,0.14754098360655737,0.29508196721311475,0.04918032786885246,0.14754098360655737,0.11475409836065574,0.19672131147540983,0.32786885245901637
CC11CM53,0.05714285714285714,0.2857142857142857,0.11428571428571428,0.5857142857142857,0.2857142857142857,0.7571428571428571,0.5428571428571428,0.9857142857142858,0.22857142857142856,0.9857142857142858,0.5857142857142857,0.6571428571428571,0.6857142857142857,0.7571428571428571,0.6571428571428571,0.2,0.2,0.15714285714285714,0.17142857142857143,0.2714285714285714,0.04285714285714286,0.11428571428571428,0.1,0.17142857142857143,0.3
CC11CM54,0.0847457627118644,0.2542372881355932,0.1016949152542373,0.4915254237288136,0.3050847457627119,0.6779661016949152,0.603448275862069,0.9491525423728814,0.1864406779661017,0.9830508474576272,0.5254237288135594,0.6610169491525424,0.6779661016949152,0.7966101694915254,0.5423728813559322,0.11864406779661017,0.1694915254237288,0.13559322033898305,0.15254237288135594,0.2711864406779661,0.01694915254237288,0.1016949152542373,0.06779661016949153,0.1694915254237288,0.3728813559322034
CC11CM55,0.03278688524590164,0.29508196721311475,0.11475409836065574,0.5737704918032787,0.3442622950819672,0.819672131147541,0.6885245901639344,0.9836065573770492,0.14754098360655737,0.9836065573770492,0.6557377049180327,0.639344262295082,0.7540983606557377,0.8032786885245902,0.6557377049180327,0.14754098360655737,0.09836065573770492,0.11475409836065574,0.18032786885245902,0.3114754098360656,0.03278688524590164,0.13114754098360656,0.08196721311475409,0.18032786885245902,0.2786885245901639
CC11CM56,0.058823529411764705,0.23529411764705882,0.11764705882352941,0.5735294117647058,0.3235294117647059,0.7794117647058824,0.6617647058823529,0.9411764705882353,0.208955223880597,0.9852941176470589,0.6029411764705882,0.6617647058823529,0.6911764705882353,0.6911764705882353,0.6911764705882353,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.16176470588235295,0.3235294117647059,0.014705882352941176,0.10294117647058823,0.10294117647058823,0.23529411764705882,0.27941176470588236
CC11CM57,0.06060606060606061,0.36363636363636365,0.12121212121212122,0.6212121212121212,0.3787878787878788,0.8636363636363636,0.7076923076923077,0.9848484848484849,0.2153846153846154,0.9848484848484849,0.5606060606060606,0.6212121212121212,0.7878787878787878,0.6666666666666666,0.6515151515151515,0.13636363636363635,0.13636363636363635,0.16666666666666666,0.12121212121212122,0.3333333333333333,0.015151515151515152,0.09090909090909091,0.10606060606060606,0.2878787878787879,0.3181818181818182
CC11CM58,0.06451612903225806,0.22580645161290322,0.14516129032258066,0.5161290322580645,0.3442622950819672,0.8064516129032258,0.7096774193548387,0.9516129032258065,0.2459016393442623,0.9838709677419355,0.5645161290322581,0.5967741935483871,0.7258064516129032,0.7903225806451613,0.6129032258064516,0.14516129032258066,0.12903225806451613,0.14516129032258066,0.14516129032258066,0.3548387096774194,0.0,0.0967741935483871,0.08064516129032258,0.16129032258064516,0.3064516129032258
CC11CM59,0.05555555555555555,0.25,0.1111111111111111,0.5138888888888888,0.3055555555555556,0.6666666666666666,0.5633802816901409,0.9444444444444444,0.19718309859154928,0.9861111111111112,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.7361111111111112,0.6388888888888888,0.1527777777777778,0.125,0.125,0.18055555555555555,0.2638888888888889,0.05555555555555555,0.09722222222222222,0.06944444444444445,0.1527777777777778,0.3055555555555556
CC11CM60,0.08163265306122448,0.3877551020408163,0.20408163265306123,0.6326530612244898,0.4489795918367347,0.8367346938775511,0.7142857142857143,0.9387755102040817,0.14285714285714285,1.0,0.5918367346938775,0.6122448979591837,0.8163265306122449,0.7755102040816326,0.6326530612244898,0.14285714285714285,0.16326530612244897,0.10204081632653061,0.24489795918367346,0.2857142857142857,0.04081632653061224,0.14285714285714285,0.04081632653061224,0.1836734693877551,0.3877551020408163
CC11CM61,0.03571428571428571,0.32142857142857145,0.10714285714285714,0.6428571428571429,0.3392857142857143,0.8571428571428571,0.6,0.9642857142857143,0.21428571428571427,1.0,0.48214285714285715,0.6428571428571429,0.7857142857142857,0.7142857142857143,0.6607142857142857,0.14285714285714285,0.08928571428571429,0.16071428571428573,0.125,0.30357142857142855,0.03571428571428571,0.125,0.08928571428571429,0.23214285714285715,0.30357142857142855
CC11CM62,0.07017543859649122,0.2631578947368421,0.15789473684210525,0.6140350877192983,0.38596491228070173,0.8245614035087719,0.6491228070175439,0.9649122807017544,0.14035087719298245,0.9824561403508771,0.543859649122807,0.5789473684210527,0.7368421052631579,0.7368421052631579,0.6666666666666666,0.10526315789473684,0.15789473684210525,0.12280701754385964,0.17543859649122806,0.3508771929824561,0.05263157894736842,0.12280701754385964,0.14035087719298245,0.21052631578947367,0.2982456140350877
CC11CM63,0.0784313725490196,0.2549019607843137,0.17647058823529413,0.6274509803921569,0.43137254901960786,0.8627450980392157,0.74,0.9803921568627451,0.23529411764705882,1.0,0.5686274509803921,0.5294117647058824,0.8235294117647058,0.6666666666666666,0.803921568627451,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.13725490196078433,0.3137254901960784,0.0,0.1568627450980392,0.0784313725490196,0.23529411764705882,0.19607843137254902
